Name,Id,ShopId,Multiplier,Cost
Upgrade (0),0,0,3,2.50E+04
Upgrade (1),1,1,3,5.00E+05
Upgrade (2),2,2,3,1.00E+06
Upgrade (3),3,3,3,5.00E+06
Upgrade (4),4,4,3,1.00E+07
Upgrade (5),5,5,3,2.50E+07
Upgrade (6),6,6,3,5.00E+08
Upgrade (7),7,7,3,1.00E+10
Upgrade (8),8,8,3,5.00E+10
Upgrade (9),9,9,3,2.50E+11
UpgradeAll (1),10,10,3,1.00E+12
Upgrade (10),11,0,3,2.00E+13
Upgrade (11),12,1,3,5.00E+13
Upgrade (12),13,2,3,1.00E+14
Upgrade (13),14,3,3,5.00E+14
Upgrade (14),15,4,3,1.00E+15
Upgrade (15),16,5,3,2.00E+15
Upgrade (16),17,6,3,5.00E+15
Upgrade (17),18,7,3,7.00E+15
Upgrade (18),19,8,3,1.00E+16
Upgrade (19),20,9,3,2.00E+16
